"","word","type"
"1","가뿐하다","positive"
"2","감개무량하다","positive"
"3","감격하다","positive"
"4","감동하다","positive"
"5","감미롭다","positive"
"6","감복하다","positive"
"7","감사하다","positive"
"8","감질나다","positive"
"9","감회","positive"
"10","감흥","positive"
"11","경이롭다","positive"
"12","경쾌하다","positive"
"13","궁금하다","positive"
"14","근사하다","positive"
"15","기분좋다","positive"
"16","기쁘다","positive"
"17","까르르","positive"
"18","까무러치다","positive"
"19","깔깔깔깔","positive"
"20","껄껄껄","positive"
"21","끼득끼득","positive"
"22","낄낄낄","positive"
"23","낭만적","positive"
"24","달갑다","positive"
"25","대견하다","positive"
"26","두근거리다","positive"
"27","따뜻하다","positive"
"28","따스하다","positive"
"29","만족하다","positive"
"30","반갑다","positive"
"31","반신반의하다","positive"
"32","방그레","positive"
"33","방글방글","positive"
"34","방긋","positive"
"35","보기좋다","positive"
"36","부러워하다","positive"
"37","빙그레","positive"
"38","뿌듯하다","positive"
"39","사랑스럽다","positive"
"40","상쾌하다","positive"
"41","상큼하다","positive"
"42","설레다","positive"
"43","속시원하다","positive"
"44","신나다","positive"
"45","신명나다","positive"
"46","신바람나다","positive"
"47","신비롭다","positive"
"48","싱글벙글하다","positive"
"49","쌩끗","positive"
"50","씰룩거리다","positive"
"51","아하하","positive"
"52","어여쁘다","positive"
"53","예쁘다","positive"
"54","웃다","positive"
"55","웃어넘기다","positive"
"56","원더풀","positive"
"57","유쾌하다","positive"
"58","으쓱하다","positive"
"59","이힛힛힛","positive"
"60","자부하다","positive"
"61","재미있다","positive"
"62","좋다","positive"
"63","즐겁다","positive"
"64","천만다행이다","positive"
"65","친근하다","positive"
"66","친숙하다","positive"
"67","콩닥거리다","positive"
"68","쾌적하다","positive"
"69","킬킬거리다","positive"
"70","통쾌하다","positive"
"71","편안하다","positive"
"72","하하","positive"
"73","함박웃음","positive"
"74","행복하다","positive"
"75","후련하다","positive"
"76","훌륭하다","positive"
"77","휘둥그레지다","positive"
"78","흐뭇하다","positive"
"79","흡족하다","positive"
"80","흥겹다","positive"
"81","흥미롭다","positive"
"82","희희낙락하다","positive"
"83","히죽거리다","positive"
"84","히죽거리다","positive"
"85","히히","positive"
"86","","positive"
"87","기쁜        ","positive"
"88","벅찬      ","positive"
"89","포근한       ","positive"
"90","흐뭇한          ","positive"
"91","상쾌한        ","positive"
"92","짜릿한      ","positive"
"93","시원한  ","positive"
"94","반가운      ","positive"
"95","후련한    ","positive"
"96","살맛 나는    ","positive"
"97","신바람 나는     ","positive"
"98","아늑한        ","positive"
"99","온화한  ","positive"
"100","안전한      ","positive"
"101","느긋한    ","positive"
"102","끝내주는     ","positive"
"103","날아 갈 듯한    ","positive"
"104","괜찮은        ","positive"
"105","쌈박한      ","positive"
"106","정다운  ","positive"
"107","그리운      ","positive"
"108","화사한    ","positive"
"109","자유로운     ","positive"
"110","따사로운        ","positive"
"111","감미로운      ","positive"
"112","황홀한      ","positive"
"113","상큼한","positive"
"114","평화로운","positive"
"115","활기찬       ","positive"
"116","힘찬       ","positive"
"117","생생한       ","positive"
"118","의기양양한      ","positive"
"119","든든한       ","positive"
"120","격렬한      ","positive"
"121","열렬한","positive"
"122","당당한       ","positive"
"123","팔팔한     ","positive"
"124","엄청난       ","positive"
"125","자신만만한       ","positive"
"126","패기만만한   ","positive"
"127","야생마 같은","positive"
"128","강렬한       ","positive"
"129","충만한     ","positive"
"130","싱싱한       ","positive"
"131","전율을 느끼는 ","positive"
"132","두근두근하는","positive"
"133","넋잃은","positive"
"134","","positive"
"135","가격이 싸다","positive"
"136","가까이 사귀어","positive"
